0.615686,0.623529,0.635294,0.650980,0.662745,0.666667,0.682353,0.698039,0.705882,0.713726,0.725490,0.725490,0.729412,0.721569,0.713726,0.705882,0.694118,0.678431,0.662745,0.654902,0.650980,0.631373,0.615686,0.603922,0.596078
0.611765,0.627451,0.639216,0.654902,0.662745,0.674510,0.686275,0.694118,0.705882,0.713726,0.721569,0.725490,0.725490,0.717647,0.709804,0.705882,0.690196,0.674510,0.662745,0.654902,0.647059,0.635294,0.623529,0.607843,0.600000
0.611765,0.631373,0.639216,0.654902,0.666667,0.678431,0.682353,0.690196,0.701961,0.713726,0.745098,0.752941,0.733333,0.729412,0.721569,0.705882,0.690196,0.674510,0.658824,0.658824,0.643137,0.631373,0.619608,0.607843,0.603922
0.619608,0.635294,0.650980,0.666667,0.682353,0.690196,0.694118,0.698039,0.709804,0.713726,0.533333,0.525490,0.705882,0.725490,0.713726,0.701961,0.690196,0.678431,0.666667,0.658824,0.647059,0.627451,0.615686,0.600000,0.596078
0.631373,0.643137,0.658824,0.674510,0.682353,0.694118,0.701961,0.705882,0.733333,0.541176,0.011765,0.003922,0.176471,0.647059,0.729412,0.701961,0.690196,0.678431,0.666667,0.658824,0.643137,0.627451,0.607843,0.592157,0.588235
0.635294,0.658824,0.666667,0.678431,0.686275,0.698039,0.725490,0.741176,0.768627,0.305882,0.086275,0.200000,0.247059,0.352941,0.639216,0.698039,0.686275,0.674510,0.662745,0.650980,0.635294,0.619608,0.603922,0.588235,0.580392
0.635294,0.654902,0.662745,0.674510,0.686275,0.725490,0.552941,0.360784,0.337255,0.141176,0.250980,0.525490,0.517647,0.329412,0.411765,0.580392,0.678431,0.670588,0.658824,0.647059,0.631373,0.615686,0.596078,0.580392,0.572549
0.647059,0.662745,0.666667,0.682353,0.721569,0.576471,0.109804,0.023529,0.015686,0.196078,0.345098,0.203922,0.494118,0.172549,0.305882,0.517647,0.560784,0.674510,0.658824,0.643137,0.635294,0.615686,0.600000,0.580392,0.572549
0.643137,0.650980,0.658824,0.701961,0.486275,0.086275,0.039216,0.050980,0.054902,0.090196,0.152941,0.137255,0.509804,0.447059,0.290196,0.501961,0.674510,0.654902,0.650980,0.647059,0.635294,0.615686,0.596078,0.584314,0.572549
0.631373,0.643137,0.662745,0.466667,0.062745,0.047059,0.050980,0.047059,0.050980,0.043137,0.133333,0.090196,0.352941,0.745098,0.360784,0.584314,0.658824,0.647059,0.643137,0.643137,0.631373,0.615686,0.596078,0.576471,0.564706
0.627451,0.643137,0.658824,0.211765,0.011765,0.054902,0.050980,0.047059,0.043137,0.113725,0.109804,0.031373,0.145098,0.168627,0.196078,0.658824,0.643137,0.635294,0.619608,0.623529,0.627451,0.611765,0.596078,0.580392,0.564706
